city,geo_lat,geo_lon
Adygejsk,44.878414,39.190289
Majkop,44.6098268,40.1006606
Gorno-Altajsk,51.9581028,85.9603235
Alejsk,52.4922513,82.7793606
Barnaul,53.3479968,83.7798064
Belokuriha,51.996152,84.9839604
Bijsk,52.5393864,85.2138453
Gornyak,50.9979622,81.4643358
Zarinsk,53.7063476,84.9315081
Zmeinogorsk,51.1581094,82.1872547
Kamen-na-Obi,53.7913974,81.3545053
Novoaltajsk,53.4119759,83.9311069
Rubcovsk,51.5012067,81.2078695
Slavgorod,52.999463,78.6459232
YArovoe,52.9252146,78.5729775
Belogorsk,50.9213415,128.4739471
Blagoveshchensk,50.290659,127.527198
Zavitinsk,50.1064111,129.4391813
Zeya,53.7340088,127.265787
Rajchihinsk,49.7941615,129.4112492
Svobodnyj,51.3614103,128.1219729
Skovorodino,53.9871095,123.9437205
Tynda,55.1546441,124.7468904
Ciolkovskij,51.762481,128.1219846
SHimanovsk,52.0051886,127.7005458
Arhangelsk,64.5394289,40.5169606
Velsk,61.066,42.1032789
Kargopol,61.5009724,38.9636966
Koryazhma,61.2885948,47.1003015
Kotlas,61.2528972,46.633242
Mezen,65.8398078,44.2532273
Mirnyj,62.7645265,40.3360076
Novodvinsk,64.4136851,40.8208143
Nyandoma,61.6654674,40.2062947
Onega,63.9162928,38.0805031
Severodvinsk,64.5625385,39.8180934
Solvychegodsk,61.3319616,46.920441
SHenkursk,62.1057272,42.8996973
Astrahan,46.3655652,48.0559236
Ahtubinsk,48.2752034,46.1906462
Znamensk,48.5866291,45.7368019
Kamyzyak,46.110579,48.07333
Narimanov,46.6916565,47.8502476
Harabali,47.408999,47.2525345
Agidel,55.8999056,53.9220144
Bajmak,52.5912896,58.3110998
Belebej,54.1034582,54.1113129
Beloreck,53.9676488,58.4100419
Birsk,55.4155753,55.5582214
